Concat_Subtype_Element_Type,Weightings,Varient_Commment
Amenity Building_Access Strip,9,NULL
Amenity Building_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Amenity Building_Alternator,NULL,NULL
Amenity Building_Balustrade,4,NULL
Amenity Building_Balustrade,7,If failure of the elementwould lead to increasedrisk of falls from height.
Amenity Building_Beams,8,NULL
Amenity Building_Beams,9,If element deemed tobe load bearing
Amenity Building_Cable and Pipe Management,4,NULL
Amenity Building_Cable and Pipe Management,7,If hazardous materialbeing conveyed.
Amenity Building_Ceiling,4,NULL
Amenity Building_Climate Control,NULL,NULL
Amenity Building_Distribution Board,NULL,NULL
Amenity Building_Distribution Network Operator Feeder,NULL,NULL
Amenity Building_Doors and Windows,6,NULL
Amenity Building_Doors and Windows,9,If element is critical foraccess/egress/security
Amenity Building_Drainage System,5,NULL
Amenity Building_Drainage System,9,if failure could not bemitigated and would
Amenity Building_Electrical System,NULL,NULL
Amenity Building_Electricity Meter,NULL,NULL
Amenity Building_Electricity Sub Meter,NULL,NULL
Amenity Building_Equipment Mounting Board,3,NULL
Amenity Building_Equipment Mounting Board,9,if board supportsequipment critical tothe operation of theasset and the lack ofsupport would makethem inoperable.
Amenity Building_External Features,4,NULL
Amenity Building_External Features,6,if feature protectsstructural elementsfrom deterioration orrequired for security.
Amenity Building_External Walls,8,NULL
Amenity Building_External Walls,9,If element deemed tobe load bearing orrequired for security
Amenity Building_Fastenings,7,NULL
Amenity Building_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Amenity Building_Fire Protection,NULL,NULL
Amenity Building_Fixed Fall Arrest System,NULL,NULL
Amenity Building_Fixings,3,NULL
Amenity Building_Floor,8,NULL
Amenity Building_Floor,9,if affected area can't beisolated and preventsthe operation of theasset as a whole.
Amenity Building_Foundation,8,NULL
Amenity Building_Foundation,9,if function /performance of theasset beingcompromised.
Amenity Building_Frame,8,NULL
Amenity Building_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Amenity Building_Fuel Cell,NULL,NULL
Amenity Building_Gas System,NULL,NULL
Amenity Building_Grassed Elements,1,NULL
Amenity Building_Habitat Enhancement,1,NULL
Amenity Building_Handrail,4,NULL
Amenity Building_Handrail,7,If element required forsafe operation.
Amenity Building_Heating System,NULL,NULL
Amenity Building_Hydro Turbine,NULL,NULL
Amenity Building_Incomer,NULL,NULL
Amenity Building_Internal Features,1,NULL
Amenity Building_Internal Walls,4,NULL
Amenity Building_Internal Walls,9,If load bearing or criticalfor security.
Amenity Building_Lighting,NULL,NULL
Amenity Building_Maintenance Hole,3,NULL
Amenity Building_Maintenance Hole,6,If element provides solemeans of undertakingmaintenance orinspection activity.
Amenity Building_Padlock or Lock,6,NULL
Amenity Building_Padlock or Lock,9,if critical to theoperation of the asset
Amenity Building_Planted Elements,1,NULL
Amenity Building_Pump Out Point,5,NULL
Amenity Building_Roller Shutters,6,NULL
Amenity Building_Roller Shutters,9,If element is critical foraccess/egress/security
Amenity Building_Roof,8,NULL
Amenity Building_Roof,9,If element is critical forsecurity or building is ofmajor significance
Amenity Building_Security Camera,1,NULL
Amenity Building_Security Camera,6,If Asset has a history ofsuffering from criminalactivity and the camerais a critical element ofthe security systemprotecting the Asset.
Amenity Building_Sewage Treatment System,NULL,NULL
Amenity Building_Solar Panel,NULL,NULL
Amenity Building_Substructure,8,NULL
Amenity Building_Substructure,9,if function /performance of theasset beingcompromised.
Amenity Building_Transformer,NULL,NULL
Amenity Building_Treads and Risers,3,NULL
Amenity Building_Treads and Risers,7,if required foroperational access.
Amenity Building_Uninterruptible Power Supply,NULL,NULL
Amenity Building_Ventilation System,NULL,NULL
Amenity Building_Waste Disposal System,NULL,NULL
Amenity Building_Water Point,NULL,NULL
Amenity Building_Water Supply Plumbing System,9,NULL
Automation Controls_Automation Interface,NULL,NULL
Automation Controls_Distribution Board,NULL,NULL
Automation Controls_Distribution Network Operator Feeder,NULL,NULL
Automation Controls_Electrical System,NULL,NULL
Automation Controls_Electricity Meter,NULL,NULL
Automation Controls_Electricity Sub Meter,NULL,NULL
Automation Controls_Human Machine Interface,NULL,NULL
Automation Controls_Incomer,NULL,NULL
Automation Controls_Network,NULL,NULL
Automation Controls_Programmable Logic Computers,NULL,NULL
Automation Controls_Relay Control,NULL,NULL
Automation Controls_Router,NULL,NULL
Automation Controls_SCADA,NULL,NULL
Automation Controls_Server,NULL,NULL
Automation Controls_Transformer,NULL,NULL
Automation Controls_Uninterruptible Power Supply,NULL,NULL
Barrier Beach_Berm,5,NULL
Barrier Beach_Berm,7,If less than 5 metreswide.
Barrier Beach_Crest,7,NULL
Barrier Beach_Crest,9,If the Crest is less than5 metres wide.
Barrier Beach_Exposed Face,7,NULL
Barrier Beach_Exposed Face,9,"If steeper than 2:1, orAsset is extremelyexposed to waveaction."
Barrier Beach_Landward Face,7,NULL
Barrier Beach_Landward Face,9,If steeper than 2:1.
Barrier Beach_Shore,5,NULL
Barrier Beach_Shore,8,If asset is extremelyexposed.
Beach_Berm,5,NULL
Beach_Berm,7,If less than 5 metreswide.
Beach_Crest,7,NULL
Beach_Crest,9,If the Crest is less than5 metres wide.
Beach_Shingle Bank,7,NULL
Beach_Shingle Bank,9,Gradient is steeper than2:1 or extremelyexposed to wave action.
Beach_Shore,5,NULL
Beach_Shore,8,If asset is extremelyexposed.
Beacon_Civils,4,NULL
Beacon_Daymark,9,NULL
Beacon_Electrical System,NULL,NULL
Beacon_Equipment Housing,4,NULL
Beacon_Equipment Housing,6,"If equipment containedwithin element is notindependentlyweatherproof,independently securedor poses a safety risk."
Beacon_Fastenings,7,NULL
Beacon_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Beacon_Foghorn,NULL,NULL
Beacon_Navigation Light,3,NULL
Beacon_Positional Indicator,NULL,NULL
Beacon_Post,7,NULL
Beacon_Post,9,If element is critical forasset function
Beacon_Solar Panel,NULL,NULL
Beacon_TopMark,3,NULL
Beacon_Wind Turbine,NULL,NULL
Boat Lift_Access Strip,9,NULL
Boat Lift_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Boat Lift_Bearing Piling,6,NULL
Boat Lift_Bearing Piling,8,If element is key tostructural stability orsafety.
Boat Lift_Gantry,1,NULL
Boat Lift_Gantry,5,If failure wouldcompromise operation.
Boat Lift_Gearbox,NULL,NULL
Boat Lift_Jib Crane,NULL,NULL
Boat Lift_Ladder,3,NULL
Boat Lift_Ladder,5,"if element is consideredcritical to access, egressor security or to theoverall asset function."
Boat Lift_Mooring Point,6,NULL
Boat Lift_Mooring Point,9,If element is asingle/only mooringpoint or critical fornavigation oroperational access
Boat Lift_Motor,NULL,NULL
Boat Lift_Piling,6,NULL
Boat Lift_Piling,8,If element is key tostructural stability orsafety.
Boat Lift_Security Barrier,3,NULL
Boat Lift_Security Barrier,9,if critic to preventingunauthorised access orthere is no alternativeaccess for authorisedpeople / operationalstaff.
Boat Lift_Slope,6,NULL
Boat Lift_Slope,9,If element critical tooverall asset function.
Boat Lift_Stoplogs and Lasherboards,3,NULL
Boat Lift_Stoplogs and Lasherboards,9,If required to performfrequent maintenanceor inspection activities.
Boat Lift_Walkway,3,NULL
Boathouse_Alternator,NULL,NULL
Boathouse_Anchor and Chain,6,NULL
Boathouse_Anchor and Chain,9,If sole restraint
Boathouse_Ceiling,4,NULL
Boathouse_Climate Control,NULL,NULL
Boathouse_Distribution Board,NULL,NULL
Boathouse_Distribution Network Operator Feeder,NULL,NULL
Boathouse_Doors and Windows,6,NULL
Boathouse_Doors and Windows,9,If element is critical foraccess/egress/security
Boathouse_Drainage System,5,NULL
Boathouse_Drainage System,9,"if failure could not bemitigated and wouldcause a H, S & W /pollution incident."
Boathouse_Electrical System,NULL,NULL
Boathouse_Electricity Meter,NULL,NULL
Boathouse_Electricity Sub Meter,NULL,NULL
Boathouse_External Features,4,NULL
Boathouse_External Features,6,if feature protectsstructural elementsfrom deterioration orrequired for security.
Boathouse_Fire Protection,NULL,NULL
Boathouse_Fixed Fall Arrest System,NULL,NULL
