Purpose,Purpose
Business Support,Business Support
Conservation,Conservation
Environment Management,Environment Management
Erosion Protection,Erosion Protection
Fisheries,Fisheries
Flood Risk Management,Flood Risk Management
Health and Safety,Health and Safety
Highways,Highways
Legal / Statutory,Legal / Statutory
Leisure and Amenity,Leisure and Amenity
Navigation,Navigation
Pollution Control,Pollution Control
Water Level Management,Water Level Management
Water Resources,Water Resources
None,None
Unknown,Unknown
